1280,30,753393
1280,33,286410
1280,36,571979
1280,39,904804
1280,43,1637
1280,47,495773
1280,51,406628
1280,58,366739
1280,60,883348
1280,65,472097
1280,76,321952
1280,78,354410
1280,81,131524
1280,82,670101
1280,93,595509
1280,94,792743
1280,96,210787
1280,97,533334
1280,98,168089
1280,106,778744
1280,109,38754
1280,112,496639
1280,113,695443
1280,118,371863
1280,121,621426
1280,122,610591
1280,130,305458
1280,133,857292
1280,136,741762
1280,139,394207
1280,142,301877
1280,143,521925
1280,146,743738
1280,147,530962
1280,154,377295
1280,163,109306
1281,4,490341
1281,5,541369
1281,7,97885
1281,9,568882
1281,10,642696
1281,15,846561
1281,19,301405
1281,26,758139
1281,29,644064
1281,32,569232
1281,35,482300
1281,38,86545
1281,39,227719
1281,46,145016
1281,50,393330
1281,53,872852
1281,54,881801
1281,56,360702
1281,57,279121
1281,58,721239
1281,60,26099
1281,65,71305
1281,67,670645
1281,73,576809
1281,80,287298
1281,84,12649
1281,90,517607
1281,91,63518
1281,98,320170
1281,100,681390
1281,103,358854
1281,105,912061
1281,108,942924
1281,114,628998
1281,116,93188
1281,117,785645
1281,118,115890
1281,120,191891
1281,121,855249
1281,122,354707
1281,126,852762
1281,128,933864
1281,137,268781
1281,143,976160
1281,146,261042
1281,151,137174
1281,154,121143
1281,156,506388
1281,162,767203
1281,164,232028
1281,165,60992
1281,167,91579
1282,2,720345
1282,4,882539
1282,8,416988
1282,15,59843
1282,16,484622
1282,17,490311
1282,19,929699
1282,21,76083
1282,23,449742
1282,24,291250
1282,26,239241
1282,33,401031
1282,37,260523
1282,38,955452
1282,41,907132
1282,43,788529
1282,47,327403
1282,56,174361
1282,64,581225
1282,71,298313
1282,75,267058
1282,80,13549
1282,83,578897
1282,86,91380
1282,89,176128
1282,90,613165
1282,94,522443
1282,95,68226
1282,98,536568
1282,117,640684
1282,118,338967
1282,122,196834
1282,135,702361
1282,138,73544
1282,139,519906
1282,144,714652
1282,145,223882
1282,149,348493
1282,153,103407
1282,161,799786
1282,162,505300
1283,1,26726
1283,2,211283
1283,6,10874
1283,8,958216
1283,16,116348
1283,23,266426
1283,25,726485
1283,26,443549
1283,27,529331
1283,28,379277
1283,29,375577
1283,35,240787
1283,36,681625
