75|8710|Conventional Latex, MPI Gloss Level  - (flat)|litre|26.99|
76|8694|Conventional Latex, MPI Gloss Level  (semi-gloss)|g|22.00|
77|5689|Conventional Latex, MPI Gloss Level  (gloss)|kg|93.91|keep fridged, (!) flammable (!)
78|5314|Deck Coating|litre|66.91|TOXIC
79|9157|Elastomeric Coating, Industrial Grade|ton|61.95|customs clearance needed, (!) flammable (!)
80|3491|Epoxy|x1000 pcs|.92|(!) flammable (!)
81|7232|Floor Paint, Epoxy|oz|9.98|customs clearance needed, TOXIC
82|3926|High Build Latex|unit|65.98|keep fridged, customs clearance needed
83|9019|Light Industrial Coating - MPI Gloss Level  (an æeggshell-likeÆ finish)|cube m|47.95|keep fridged, (!) flammable (!)
84|6084|Light Industrial Coating - MPI Gloss level  (semi-gloss)|barrel|90.95|customs clearance needed, (!) flammable (!)
85|5308|Light Industrial Coating - MPI Gloss Level  (gloss)|x1000 pcs|40.91|keep fridged, (!) flammable (!)
86|1560|Multicolored Coating, Clear, Top Coat|g|94.99|keep fridged, (!) flammable (!), TOXIC
87|504|Porch & Floor Paint, Low Gloss|x1000 pcs|54.95|keep fridged, customs clearance needed
88|9522|Porch and Floor Enamel, Gloss|kg|10.93|TOXIC
89|8790|Stain, Solid Color Latex|oz|79.98|(!) flammable (!)
90|3534|Stucco and Masonry Textured Coating, Flat|oz|17.96|
91|741|Stucco and Masonry Textured Coating, Non-Flat|kg|2.98|keep fridged, (!) flammable (!)
92|2934|Traffic Marking Paint|piece|86.93|TOXIC
93|1003|Two Coat, Low VOC Barrier System for Industrial Maintenance|sq.m|84.96|
94|7445|Block Filler, Epoxy|oz|89.93|
95|439|Boiled Linseed Oil|oz|64.94|(!) flammable (!)
96|939|Danish Oil|kg|48.98|keep fridged, (!) flammable (!)
97|7612|Enamel Undercoat|kg|96.99|TOXIC
98|6876|Floor Sealer, Clear Concrete|kg|9.92|(!) flammable (!)
99|2085|Moisture Cured Zinc Rich Primer|oz|83.99|customs clearance needed, (!) flammable (!)
100|6815|Primer for Aluminum, Q.D.|barrel|71.99|keep fridged, (!) flammable (!)
101|2953|Primer for Galvanized Metal, Cementitious|sq.m|43.91|keep fridged, customs clearance needed
102|2492|Primer for Galvanized Metal, Non-Cementitous|sq.m|41.94|keep fridged, customs clearance needed, TOXIC
103|3337|Primer for Metal , Surface Tolerant|oz|91.97|keep fridged, customs clearance needed
104|4223|Primer for Metal, Alkyd Anti-Corrosive|cube m|34.94|customs clearance needed
105|6136|Primer for Metal, Q.D. Alkyd|barrel|5.92|TOXIC
106|7904|Primer, Alkali Resistant|cube m|22.99|keep fridged, TOXIC
107|5205|Primer, Bonding|sq.m|11.95|keep fridged, customs clearance needed, TOXIC
108|288|Primer, Epoxy|sq.m|68.97|keep fridged, (!) flammable (!)
109|802|Primer, Epoxy Zinc|piece|48.93|(!) flammable (!), TOXIC
110|3831|Primer, Inorganic Zinc|kg|66.96|(!) flammable (!)
111|9569|Primer, Organic Zinc Rich|g|17.00|(!) flammable (!)
112|9670|Primer, Stain Blocking|g|57.94|customs clearance needed, (!) flammable (!)
113|8070|Primer, Vinyl Wash|kg|50.00|(!) flammable (!), TOXIC
114|1560|Primer/Sealer, Alkyd|x1000 pcs|15.92|customs clearance needed, (!) flammable (!)
115|302|Q.D. One Coat Paint for Interior Structural Steel|x1000 pcs|75.94|TOXIC
116|5278|Q.D. Shop Primer for Interior Structural Steel|x1000 pcs|68.91|keep fridged
117|3537|Sanding Sealer, Alkyd|litre|39.91|(!) flammable (!), TOXIC
118|6221|Sanding Sealer, Lacquer, Clear|x1000 pcs|15.91|
119|5416|Sanding Sealer, Lacquer, White|litre|61.98|
